Name,Class_Type,Namespace,Brick_Type,Location,Unit,ID
Condenser_Water_Pump_2_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_2,KiloW-HR,CDWP1_KWH
Condenser_Water_Pump_3_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_3,KiloW-HR,CDWP2_KWH
Condenser_Water_Pump_4_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_4,KiloW-HR,CDWP3_KWH
Condenser_Water_Pump_5_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_5,KiloW-HR,CDWP4_KWH
Condenser_Water_Pump_6_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_6,KiloW-HR,CDWP5_KWH
Condenser_Water_Pump_7_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_7,KiloW-HR,CDWP6_KWH
Condenser_Water_Pump_8_Power_Consumption_Sensor,Sensor,BRICK,Electrical_Power_Sensor,Condenser_Water_Pump_8,KiloW-HR,CDWP7_KWH
Condenser_Water_Pump_1_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_1_Fan,HZ,CDWP0_HZ
Condenser_Water_Pump_2_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_2_Fan,HZ,CDWP1_HZ
Condenser_Water_Pump_3_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_3_Fan,HZ,CDWP2_HZ
Condenser_Water_Pump_4_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_4_Fan,HZ,CDWP3_HZ
Condenser_Water_Pump_5_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_5_Fan,HZ,CDWP4_HZ
Condenser_Water_Pump_6_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_6_Fan,HZ,CDWP5_HZ
Condenser_Water_Pump_7_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_7_Fan,HZ,CDWP6_HZ
Condenser_Water_Pump_8_Frequency_Sensor,Sensor,BRICK,Frequency_Sensor,Cooling_Tower_8_Fan,HZ,CDWP7_HZ
